Biomass initial: 1.00000e-06, final: 1.00000e-06, fold change: 1.00
Estimated growth rate m = -0.0000 1/h, doubling time = NaN h
Glucose initial: 500.000 mmol/L, final: 500.000 mmol/L
Maltose initial: 250.000 mmol/L, final: 250.000 mmol/L
Glucose did not drop to half initial within 10.0 h

Time	Biomass	Glc	Mal
0	1.00000e-06	500.000	250.000
1	1.00000e-06	500.000	250.000
2	1.00000e-06	500.000	250.000
3	1.00000e-06	500.000	250.000
4	1.00000e-06	500.000	250.000
5	1.00000e-06	500.000	250.000
6	1.00000e-06	500.000	250.000
7	1.00000e-06	500.000	250.000
8	1.00000e-06	500.000	250.000
9	1.00000e-06	500.000	250.000
10	1.00000e-06	500.000	250.000
